id,name,county,fuel,fuel_group,cliff_exposed,mw_capacity,mw_energy,mfo,status,submitted,service_start_date,test_energy_date,commercial_operation_milestone,revised_in_service_date,transmission_owner,csa_posted,gia_url,senator,senator_party,senate_district
AG1-164,Club Ford Energy Center,Luzerne,Solar,Solar,True,12.0,20.0,40.0,Engineering and Procurement,2020-09-16,,2026-12-30,2027-03-01,2027-03-01,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_164_gia.pdf,Lisa Baker,R,20
AG1-165,Club Ford Energy Center,Luzerne,Solar,Solar,True,12.0,20.0,60.0,Engineering and Procurement,2020-09-17,,2026-12-30,2027-03-01,2027-03-01,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_165_gia.pdf,Lisa Baker,R,20
AG1-281,BL-Hileman Hollow,Blair,Solar,Solar,True,12.0,20.0,20.0,Engineering and Procurement,2020-09-30,,2026-12-15,2027-12-31,2027-12-31,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_281_gia.pdf,Judy Ward,R,30
AG1-301,Scarecrow Solar,Huntingdon,Solar,Solar,True,12.0,20.0,20.0,Engineering and Procurement,2020-09-29,,2027-04-12,2027-05-01,2027-05-01,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_301_gia.pdf,Judy Ward,R,30
AF2-086,Stoneybrook Solar,Columbia,Solar,Solar,True,11.8,19.6,19.6,Engineering and Procurement,2020-02-03,,2027-10-29,2027-12-31,2027-12-31,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af2_086_gia.pdf,Gene Yaw,R,23
AF2-445A,Norwegian Solar,Northumberland,Solar,Solar,True,11.8,19.8,19.8,Suspended,2020-04-01,,,2024-09-24,2024-09-24,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af2_445a_isa.pdf,Lynda Schlegel Culver,R,27
AF2-229,Gobbler Knob,Cumberland,Solar,Solar,True,10.9,20.0,20.0,Engineering and Procurement,2020-03-26,,2027-09-14,2027-11-30,2027-11-30,PENELEC,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af2_229_gia.pdf,Mike Regan,R,31
AF1-271A,G Morris Solar,Dauphin,Solar,Solar,True,10.2,17.0,17.0,Suspended,2019-09-27,,2026-03-02,2026-04-15,2026-04-15,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_271a_isa.pdf,Patty Kim,D,15
AF1-136,FU-Hanks Solar,Fulton,Solar,Solar,True,9.43,15.72,15.72,Engineering and Procurement,2019-09-19,,2026-10-12,2026-11-17,2026-11-17,APS,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_136_isa.pdf,Doug Mastriano,R,33
AE2-084,Cottontail Solar 3,Montour,Solar,Solar,True,8.4,20.0,20.0,Suspended,2019-02-03,,2025-10-01,2026-04-01,2026-04-01,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_084_isa.pdf,Gene Yaw,R,23
AE2-110,Montour 1,Columbia,Solar,Solar,True,8.4,20.0,20.0,Suspended,2019-03-03,,2027-12-06,2025-02-28,2025-02-28,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_110_isa.pdf,Gene Yaw,R,23
AE2-241,Mountain Holly,Columbia,Solar,Solar,True,8.4,20.0,20.0,Suspended,2019-03-23,,2027-02-09,2027-06-01,2027-06-01,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_241_isa.pdf,Gene Yaw,R,23
AF1-057,Dover Solar,York,Solar,Solar,True,8.4,20.0,75.0,Suspended,2019-07-31,,2026-09-14,2026-10-14,2026-10-14,ME,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_057_isa.pdf,Kristin Phillips-Hill,R,28
AF2-029,Fayette Energy Facility,Fayette,Storage,Storage,False,8.0,20.0,726.0,Engineering and Procurement,2019-10-28,,2028-10-15,2028-10-31,2028-10-31,APS,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af2_029_gia.pdf,Pat Stefano,R,32
AF2-030,Ontelaunee Power Generating Plant,Berks,Storage,Storage,False,8.0,20.0,650.0,Engineering and Procurement,2019-10-28,,2028-01-14,2028-02-29,2028-02-29,ME,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af2_030_gia.pdf,Judy Schwank,D,11
AF2-092,Magenta Solar,Bedford,Solar,Solar,True,7.2,12.0,12.0,Suspended,2020-02-11,,2026-05-31,2026-08-11,2026-08-11,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af2_092_isa.pdf,Judy Ward,R,30
AG1-259,Boyles Run Solar,Northumberland,Solar,Solar,True,6.7,15.9,15.9,Engineering and Procurement,2020-09-28,,2027-03-01,2028-04-30,2028-04-30,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_259_gia.pdf,Lynda Schlegel Culver,R,27
AG1-260,Boyles Run Solar,Northumberland,Solar,Solar,True,6.7,15.9,31.8,Engineering and Procurement,2020-09-28,,2027-03-01,2028-04-30,2028-04-30,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_260_gia.pdf,Lynda Schlegel Culver,R,27
AF2-002,SunEast Hooversville Solar,Somerset,Solar,Solar,True,6.0,10.0,50.0,Suspended,2019-10-01,,2026-05-01,2026-08-01,2026-08-01,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af2_002_isa.pdf,Pat Stefano,R,32
AF1-040,Momentum Gratz,Dauphin,Storage,Storage,False,1.0,20.0,20.0,Suspended,2019-06-15,,,2024-09-06,2024-09-06,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_040_isa.pdf,Patty Kim,D,15
